,Question,choice 1,choice 2,choice 3,choice 4
5038,The president is the leader of what institution?,walmart,white house,country,corporation
5039,Sitting to close while watching TV can cause what sort of pain?,brain problems,laziness,get fat,headache
5040,Where is a bald eagle safe?,pine tree,open country,in washington,wildlife refuge
5041,"The game promised it was free, but the child's parents soon found themselves doing what for microtransactions?",costly,captive,contained,paying
5042,What kind of driving leads to accidents?,stressful,dangerous,fun,illegal
5043,What is eating too much dinner likely to result in?,tiredness,living longer,stomach ache,illness
5044,What is a person chatting with friends likely hoping to accomplish?,gathering of information,communication,feel relaxed,kill boredom
5045,"Jame's bare feet were burned as he walked, because the sunshine had made the surface hot.  Where might he have been?",disneyland,snow,windowsill,street
5046,"A fox was thirsty searching for water during the drought, where was he?",painting,hen house,california,virginia
5047,What might be the result of a season of successful skiing?,finish line,broken bones,broken legs,chapped lips
5048,"The sensor would just the distance then set off an alarm, the installation expert explained it was called a what kind of sensor?",near,closeness,here,proximity
5049,"The man was eating lunch, but rushed when he looked at his watch, why did he rush?",gain weight,late for work,heartburn,bad breath
5050,"The evacuation became mandatory, so what came on the TV?",advisory,mandate,soap opera,elective
5051,The person gave a good hands on what to show how to do the work?,demonstration,garage,building,barn
5052,Where would you see some people doing jumping jacks?,military base,opera,water fountain,bus stop
5053,"The body guard was good at his duties, he made the person who hired him what?",better job,irritated,feel safe,save money
5054,"Learning languages is difficult.  Even in a full immersion environment you're likely to make mistakes, mistakes will cause misinterpretation, which will be uncomfortable, which will cause what?,",better communication,overthinking,frustration,misunderstandings
5055,"Jim enjoyed killing people, but he did it too often and the cops found out.  What might the cops do to him?",going to jail,going to prison,beat him up,get arrested
5056,Where is there usually a fiddle playing?,music store,dance hall,orchestra,symphony
5057,What is the only was to recover from exhaustion?,mediate,have rest,stay in bed,run out of steam
5058,What would you do if you want to be able to earn money?,apply for job,stand in line,take care of proposals,pass course
5059,What is a grumpy person likely to have?,headache,understand themselves,compliments,own house
5060,What do drugs do?,damage,cloud mind,lower i.q,cause illness
5061,A beaver can destroy a machines functionality if they build their dam in this?,strip club,pocket,millpond,ontario
5062,"They decided to hash things out over drinks, after enough booze they were able to get close on a few things and what?",reach tentative agreement,suicide,examine thing,commit murder
5063,Where could a fungus grow and not be disturbed by sunlight?,under rocks,manhattan,toenails,grocery store
5064,Can you name a good reason for attending school?,get smart,boredom,colds and flu,taking tests
5065,What state south of Kentucky and north of Alabama will you find people playing the fiddle?,alabama,tennessee,violin case,music store
5066,"Though she made the cut years ago, its figurative scars would never what?",joining,put together,stitch,heal
5067,What does sex often make happen in people?,making love,feel good,happyness,wonderful thing
5068,Where would you see people in uniform playing with a ball?,hole,television,sporting goods store,pool table
5069,What kind of place could have a seafood restaurant?,new york,coastal cities,city,coastal cities
5070,Who was the head of the branch yelling at?,owner,foot,subordinate,base
5071,"He made another call, he did this all day hoping people would what well to his offer?",hang up,respond,contact,answer
5072,"She needs to visit a bookshop after buying the latest fashion, where should she look?",student union,mall,department store,library
5073,Where could you see an advertisement while reading news?,television,bus,email,web page
5074,What is required to be good at playing tennis?,tennis racket,skill,competition,tennis court
5075,What state is the John Davis  Lodge toll road found in?,new jersey,eastern united states,good repair,connecticut
5076,"The man went to clown college, he had always want to run away with the what?",circus,carnival,surprise,spoons
5077,"Jamie wanted to reduce her waist size, but all of her efforts failed miserably.  She continued to do what?",gain weight,augment,dispare,make larger
5078,James felt himself losing consciousness.  He was frightened.  He didn't want this.  He was scared of what?,death,coma,peace,forgetfulness
5079,"If someone is aloof and self-important, what is their experience when meeting people?",stress,nervousness,smile,being bored
5080,"He was receiving workman's compensation, he had tripped over a metal rod while building where?",factory,construction site,engine,insides of skyscraper's walls
5081,John and James spent most of their time communicating with each other on their project.  The time required to communicate slowed their what?,static,train of thought.,progress,transfer of information
5082,When you play around with your dog they will have?,alive,health,fun,playing dead
5083,Where would a person keep a book while it's being read?,closet,library of congress,classroom,in bed
5084,"The student needed to  get some new pencils, where did he go?",store,classroom,backpack,cabinet
5085,"She loved buying products, she was driven by her what to shop more than any practical needs?",desire,money,time,credit
5086,How does getting paid feel?,income tax,satisfaction,sorrow,ocean
5087,"The fat man refused to accept what was possible, he complained that he what the simplest activities?",no go,unlikely,unable,cant do
5088,Where can meat last a long time?,backery,ham sandwich,fridge,butcher shop
5089,What group of musicians will include someone playing the cello?,ocean,symphony,band,music store
5090,Where do bees congregate with red flowerS?,trash can,honey,bouquet of flowers,rose garden
5091,What is someone who gets angry after getting drunk likely to participate in?,violence,falling down,vomiting,vomiting
5092,"The teacher told all the students that listening was key, it was the main way they would gain what?",empathy,anxiety,knowlege,falling down
5093,Stanley had a dream that was very vivid and scary. He had trouble telling it from what?,reality,imagination,dreamworker,nightmare
5094,The city's community garden was demolished for yet another what?,wasteland,ocean,desert,parking lot
5095,WHat do cats get into when they are ripping things apart?,dog's mouth,floor,garage,trouble
5096,What is a good result of losing weight?,increased energy,healthier,loose skin,beauty
5097,A person lived in my what?,demonstration,conference,building,garage
5098,"The skin was cut while chopping onions, where was this skin likely cut?",good health,finger,meat,body
5099,What might you feel after doing housework for hours?,anger,not boredom,stress,boredom
5100,"The sanctions against the school were a punishing blow, and they seemed to what the efforts the school had made to change?",ignore,enforce,authoritarian,yell at
5101,Sammy wanted to go to where the people were.  Where might he go?,race track,populated areas,the desert,apartment
5102,To locate a choker not located in a jewelry box or boutique where would you go?,jewelry store,neck,jewlery box,jewelry box
5103,Google Maps and other highway and street GPS services have replaced what?,united states,mexico,countryside,atlas
5104,"The fox walked from the city into the forest, what was it looking for?",pretty flowers.,hen house,natural habitat,storybook
5105,What home entertainment equipment requires cable?,radio shack,substation,cabinet,television
5106,"The only baggage the woman checked was a drawstring bag, where was she heading with it?",garbage can,military,jewelry store,safe
5107,"The forgotten leftovers had gotten quite old, he found it covered in mold in the back of his what?",carpet,refrigerator,breadbox,fridge
5108,What do people use to absorb extra ink from a fountain pen?,shirt pocket,calligrapher's hand,inkwell,desk drawer
5109,Where is a business restaurant likely to be located?,town,at hotel,mall,business sector
5110,Where do you put your grapes just before checking out?,mouth,grocery cart,super market,fruit basket
5111,"Before getting a divorce, what did the wife feel who was doing all the work?",harder,anguish,bitterness,tears
5112,Johnny sat on a bench and relaxed after doing a lot of work on his hobby.  Where is he?,state park,bus depot,garden,gym
5113,James was cooling off two quickly.  He would die if he didn't find some way to stop what?,loss of heat,revenge,expansion,relaxation
5114,"Of all the rooms in a house it was his favorite, the aromas always drew him to the what?",yard,basement,kitchen,living room
5115,"Bill is stuck in marsh when a man comes up to him peaking Cajun, where is he?",low lands,new york,forest,louisiana
5116,What is it called when you slowly cook using a grill?,backyard,restaurant,crockpot,neighbor's house
5117,What type of person typically contracts illness?,hospital,head,sick person,elderly person
5118,Where would you expect to find a pizzeria while shopping?,chicago,street,little italy,food court
5119,"When eating everything on the tasting menu, what does one tend to feel?",full stomach,getting full,gaining weight,sick
5120,What does playing soccer for a long time lead to?,excitement,fatigue,anger,hurting
5121,Which entrance would you use if you do not want to use the back entrance?,side,main,anterior,current
5122,You can share files with someone if you have a connection to a what?,freeway,radio,wires,computer network
5123,"The accelerator was controller via a hand throttle, and the foot pedals controlled the steering in the small what?",car,fuel system,accelerate,boat
5124,"Sean was lying about the body, but he was very scared.  He constantly worried about what?",the reward money,hurt feelings,being found out,problems
5125,"The drug kingpin told his man to run errands, this was code to go to all the dealers to do what they had?",park,make time for,receive instructions,take money
5126,"Though he could've kept going his body appreciated the rest, it had been constantly what during the day?",walk,lay down,working,moving
5127,Too many people want exotic snakes.  The demand is driving what to carry them?,ditch,shop,north america,pet shops
5128,"Joe suffered many consequences from stabbing a stranger to death.   Among them, the family of the victim did something to him. What was that?",knife wounds,buy a gun,bleeding,jail time
5129,To prevent any glare during the big football game he made sure to clean the dust of his what?,television,attic,corner,they cannot clean corner and library during football match they cannot need that
5130,"I have something in my head I want to share, what ways can I do that?",write an essay,organize thoughts,speak information,summarize main points
5131,"He wanted a house that was gated off from other places, where should he start looking?",neighborhood,subdivision,city,suburbs
5132,Where in Southern Europe would you find many canals?,michigan,new york,amsterdam,venice
5133,What would a camper need to do before he or she can start cooking food?,make breakfast,go hiking,pack or bag,light fire
5134,What could happen to a paper if you leave it outside even if it does not move?,one material often recycled,ripped,saturated with water,one dimensional
5135,"Mark's semen was very thick, but after his vasectomy it was also what?",blank,sparse,thin,clear
5136,What is a great place to lay in the sun?,in the basement,west,solar system,beach
5137,Where would you find a seafood restaurant in the east coast of North America?,maine,boston,beach town,coastal cities
5138,The president is the leader of what institution?,walmart,white house,country,corporation
5139,Sitting to close while watching TV can cause what sort of pain?,brain problems,laziness,get fat,headache
5140,Where is a bald eagle safe?,pine tree,open country,in washington,wildlife refuge
5141,"The game promised it was free, but the child's parents soon found themselves doing what for microtransactions?",costly,captive,contained,paying
5142,What kind of driving leads to accidents?,stressful,dangerous,fun,illegal
5143,What is eating too much dinner likely to result in?,tiredness,living longer,stomach ache,illness
5144,What is a person chatting with friends likely hoping to accomplish?,gathering of information,communication,feel relaxed,kill boredom
5145,"Jame's bare feet were burned as he walked, because the sunshine had made the surface hot.  Where might he have been?",disneyland,snow,windowsill,street
5146,"A fox was thirsty searching for water during the drought, where was he?",painting,hen house,california,virginia
5147,What might be the result of a season of successful skiing?,finish line,broken bones,broken legs,chapped lips
5148,"The sensor would just the distance then set off an alarm, the installation expert explained it was called a what kind of sensor?",near,closeness,here,proximity
5149,"The man was eating lunch, but rushed when he looked at his watch, why did he rush?",gain weight,late for work,heartburn,bad breath
5150,"The evacuation became mandatory, so what came on the TV?",advisory,mandate,soap opera,elective
5151,The person gave a good hands on what to show how to do the work?,demonstration,garage,building,barn
5152,Where would you see some people doing jumping jacks?,military base,opera,water fountain,bus stop
5153,"The body guard was good at his duties, he made the person who hired him what?",better job,irritated,feel safe,save money
5154,"Learning languages is difficult.  Even in a full immersion environment you're likely to make mistakes, mistakes will cause misinterpretation, which will be uncomfortable, which will cause what?,",better communication,overthinking,frustration,misunderstandings
5155,"Jim enjoyed killing people, but he did it too often and the cops found out.  What might the cops do to him?",going to jail,going to prison,beat him up,get arrested
5156,Where is there usually a fiddle playing?,music store,dance hall,orchestra,symphony
5157,What is the only was to recover from exhaustion?,mediate,have rest,stay in bed,run out of steam
5158,What would you do if you want to be able to earn money?,apply for job,stand in line,take care of proposals,pass course
5159,What is a grumpy person likely to have?,headache,understand themselves,compliments,own house
5160,What do drugs do?,damage,cloud mind,lower i.q,cause illness
5161,A beaver can destroy a machines functionality if they build their dam in this?,strip club,pocket,millpond,ontario
5162,"They decided to hash things out over drinks, after enough booze they were able to get close on a few things and what?",reach tentative agreement,suicide,examine thing,commit murder
5163,Where could a fungus grow and not be disturbed by sunlight?,under rocks,manhattan,toenails,grocery store
5164,Can you name a good reason for attending school?,get smart,boredom,colds and flu,taking tests
5165,What state south of Kentucky and north of Alabama will you find people playing the fiddle?,alabama,tennessee,violin case,music store
5166,"Though she made the cut years ago, its figurative scars would never what?",joining,put together,stitch,heal
5167,What does sex often make happen in people?,making love,feel good,happyness,wonderful thing
5168,Where would you see people in uniform playing with a ball?,hole,television,sporting goods store,pool table
5169,What kind of place could have a seafood restaurant?,new york,coastal cities,city,coastal cities
5170,Who was the head of the branch yelling at?,owner,foot,subordinate,base
5171,"He made another call, he did this all day hoping people would what well to his offer?",hang up,respond,contact,answer
5172,"She needs to visit a bookshop after buying the latest fashion, where should she look?",student union,mall,department store,library
5173,Where could you see an advertisement while reading news?,television,bus,email,web page
5174,What is required to be good at playing tennis?,tennis racket,skill,competition,tennis court
5175,What state is the John Davis  Lodge toll road found in?,new jersey,eastern united states,good repair,connecticut
5176,"The man went to clown college, he had always want to run away with the what?",circus,carnival,surprise,spoons
5177,"Jamie wanted to reduce her waist size, but all of her efforts failed miserably.  She continued to do what?",gain weight,augment,dispare,make larger
5178,James felt himself losing consciousness.  He was frightened.  He didn't want this.  He was scared of what?,death,coma,peace,forgetfulness
5179,"If someone is aloof and self-important, what is their experience when meeting people?",stress,nervousness,smile,being bored
5180,"He was receiving workman's compensation, he had tripped over a metal rod while building where?",factory,construction site,engine,insides of skyscraper's walls
5181,John and James spent most of their time communicating with each other on their project.  The time required to communicate slowed their what?,static,train of thought.,progress,transfer of information
5182,When you play around with your dog they will have?,alive,health,fun,playing dead
5183,Where would a person keep a book while it's being read?,closet,library of congress,classroom,in bed
5184,"The student needed to  get some new pencils, where did he go?",store,classroom,backpack,cabinet
5185,"She loved buying products, she was driven by her what to shop more than any practical needs?",desire,money,time,credit
5186,How does getting paid feel?,income tax,satisfaction,sorrow,ocean
5187,"The fat man refused to accept what was possible, he complained that he what the simplest activities?",no go,unlikely,unable,cant do
5188,Where can meat last a long time?,backery,ham sandwich,fridge,butcher shop
5189,What group of musicians will include someone playing the cello?,ocean,symphony,band,music store
5190,Where do bees congregate with red flowerS?,trash can,honey,bouquet of flowers,rose garden
5191,What is someone who gets angry after getting drunk likely to participate in?,violence,falling down,vomiting,vomiting
5192,"The teacher told all the students that listening was key, it was the main way they would gain what?",empathy,anxiety,knowlege,falling down
5193,Stanley had a dream that was very vivid and scary. He had trouble telling it from what?,reality,imagination,dreamworker,nightmare
5194,The city's community garden was demolished for yet another what?,wasteland,ocean,desert,parking lot
5195,WHat do cats get into when they are ripping things apart?,dog's mouth,floor,garage,trouble
5196,What is a good result of losing weight?,increased energy,healthier,loose skin,beauty
5197,A person lived in my what?,demonstration,conference,building,garage
5198,"The skin was cut while chopping onions, where was this skin likely cut?",good health,finger,meat,body
5199,What might you feel after doing housework for hours?,anger,not boredom,stress,boredom
5200,"The sanctions against the school were a punishing blow, and they seemed to what the efforts the school had made to change?",ignore,enforce,authoritarian,yell at
5201,Sammy wanted to go to where the people were.  Where might he go?,race track,populated areas,the desert,apartment
5202,To locate a choker not located in a jewelry box or boutique where would you go?,jewelry store,neck,jewlery box,jewelry box
5203,Google Maps and other highway and street GPS services have replaced what?,united states,mexico,countryside,atlas
5204,"The fox walked from the city into the forest, what was it looking for?",pretty flowers.,hen house,natural habitat,storybook
5205,What home entertainment equipment requires cable?,radio shack,substation,cabinet,television
5206,"The only baggage the woman checked was a drawstring bag, where was she heading with it?",garbage can,military,jewelry store,safe
5207,"The forgotten leftovers had gotten quite old, he found it covered in mold in the back of his what?",carpet,refrigerator,breadbox,fridge
5208,What do people use to absorb extra ink from a fountain pen?,shirt pocket,calligrapher's hand,inkwell,desk drawer
5209,Where is a business restaurant likely to be located?,town,at hotel,mall,business sector
5210,Where do you put your grapes just before checking out?,mouth,grocery cart,super market,fruit basket
5211,"Before getting a divorce, what did the wife feel who was doing all the work?",harder,anguish,bitterness,tears
5212,Johnny sat on a bench and relaxed after doing a lot of work on his hobby.  Where is he?,state park,bus depot,garden,gym
5213,James was cooling off two quickly.  He would die if he didn't find some way to stop what?,loss of heat,revenge,expansion,relaxation
5214,"Of all the rooms in a house it was his favorite, the aromas always drew him to the what?",yard,basement,kitchen,living room
5215,"Bill is stuck in marsh when a man comes up to him peaking Cajun, where is he?",low lands,new york,forest,louisiana
5216,What is it called when you slowly cook using a grill?,backyard,restaurant,crockpot,neighbor's house
5217,What type of person typically contracts illness?,hospital,head,sick person,elderly person
5218,Where would you expect to find a pizzeria while shopping?,chicago,street,little italy,food court
5219,"When eating everything on the tasting menu, what does one tend to feel?",full stomach,getting full,gaining weight,sick
5220,What does playing soccer for a long time lead to?,excitement,fatigue,anger,hurting
5221,Which entrance would you use if you do not want to use the back entrance?,side,main,anterior,current
5222,You can share files with someone if you have a connection to a what?,freeway,radio,wires,computer network
5223,"The accelerator was controller via a hand throttle, and the foot pedals controlled the steering in the small what?",car,fuel system,accelerate,boat
5224,"Sean was lying about the body, but he was very scared.  He constantly worried about what?",the reward money,hurt feelings,being found out,problems
5225,"The drug kingpin told his man to run errands, this was code to go to all the dealers to do what they had?",park,make time for,receive instructions,take money
5226,"Though he could've kept going his body appreciated the rest, it had been constantly what during the day?",walk,lay down,working,moving
5227,Too many people want exotic snakes.  The demand is driving what to carry them?,ditch,shop,north america,pet shops
5228,"Joe suffered many consequences from stabbing a stranger to death.   Among them, the family of the victim did something to him. What was that?",knife wounds,buy a gun,bleeding,jail time
5229,To prevent any glare during the big football game he made sure to clean the dust of his what?,television,attic,corner,they cannot clean corner and library during football match they cannot need that
5230,"I have something in my head I want to share, what ways can I do that?",write an essay,organize thoughts,speak information,summarize main points
5231,"He wanted a house that was gated off from other places, where should he start looking?",neighborhood,subdivision,city,suburbs
5232,Where in Southern Europe would you find many canals?,michigan,new york,amsterdam,venice
5233,What would a camper need to do before he or she can start cooking food?,make breakfast,go hiking,pack or bag,light fire
5234,What could happen to a paper if you leave it outside even if it does not move?,one material often recycled,ripped,saturated with water,one dimensional
5235,"Mark's semen was very thick, but after his vasectomy it was also what?",blank,sparse,thin,clear
5236,What is a great place to lay in the sun?,in the basement,west,solar system,beach
5237,Where would you find a seafood restaurant in the east coast of North America?,maine,boston,beach town,coastal cities
5238,The president is the leader of what institution?,walmart,white house,country,corporation
5239,Sitting to close while watching TV can cause what sort of pain?,brain problems,laziness,get fat,headache
5240,Where is a bald eagle safe?,pine tree,open country,in washington,wildlife refuge
5241,"The game promised it was free, but the child's parents soon found themselves doing what for microtransactions?",costly,captive,contained,paying
5242,What kind of driving leads to accidents?,stressful,dangerous,fun,illegal
5243,What is eating too much dinner likely to result in?,tiredness,living longer,stomach ache,illness
5244,What is a person chatting with friends likely hoping to accomplish?,gathering of information,communication,feel relaxed,kill boredom
5245,"Jame's bare feet were burned as he walked, because the sunshine had made the surface hot.  Where might he have been?",disneyland,snow,windowsill,street
5246,"A fox was thirsty searching for water during the drought, where was he?",painting,hen house,california,virginia
5247,What might be the result of a season of successful skiing?,finish line,broken bones,broken legs,chapped lips
5248,"The sensor would just the distance then set off an alarm, the installation expert explained it was called a what kind of sensor?",near,closeness,here,proximity
5249,"The man was eating lunch, but rushed when he looked at his watch, why did he rush?",gain weight,late for work,heartburn,bad breath
5250,"The evacuation became mandatory, so what came on the TV?",advisory,mandate,soap opera,elective
5251,The person gave a good hands on what to show how to do the work?,demonstration,garage,building,barn
5252,Where would you see some people doing jumping jacks?,military base,opera,water fountain,bus stop
5253,"The body guard was good at his duties, he made the person who hired him what?",better job,irritated,feel safe,save money
5254,"Learning languages is difficult.  Even in a full immersion environment you're likely to make mistakes, mistakes will cause misinterpretation, which will be uncomfortable, which will cause what?,",better communication,overthinking,frustration,misunderstandings
5255,"Jim enjoyed killing people, but he did it too often and the cops found out.  What might the cops do to him?",going to jail,going to prison,beat him up,get arrested
5256,Where is there usually a fiddle playing?,music store,dance hall,orchestra,symphony
5257,What is the only was to recover from exhaustion?,mediate,have rest,stay in bed,run out of steam
5258,What would you do if you want to be able to earn money?,apply for job,stand in line,take care of proposals,pass course
5259,What is a grumpy person likely to have?,headache,understand themselves,compliments,own house
5260,What do drugs do?,damage,cloud mind,lower i.q,cause illness
5261,A beaver can destroy a machines functionality if they build their dam in this?,strip club,pocket,millpond,ontario
5262,"They decided to hash things out over drinks, after enough booze they were able to get close on a few things and what?",reach tentative agreement,suicide,examine thing,commit murder
5263,Where could a fungus grow and not be disturbed by sunlight?,under rocks,manhattan,toenails,grocery store
5264,Can you name a good reason for attending school?,get smart,boredom,colds and flu,taking tests
5265,What state south of Kentucky and north of Alabama will you find people playing the fiddle?,alabama,tennessee,violin case,music store
5266,"Though she made the cut years ago, its figurative scars would never what?",joining,put together,stitch,heal
5267,What does sex often make happen in people?,making love,feel good,happyness,wonderful thing
5268,Where would you see people in uniform playing with a ball?,hole,television,sporting goods store,pool table
5269,What kind of place could have a seafood restaurant?,new york,coastal cities,city,coastal cities
5270,Who was the head of the branch yelling at?,owner,foot,subordinate,base
5271,"He made another call, he did this all day hoping people would what well to his offer?",hang up,respond,contact,answer
5272,"She needs to visit a bookshop after buying the latest fashion, where should she look?",student union,mall,department store,library
5273,Where could you see an advertisement while reading news?,television,bus,email,web page
5274,What is required to be good at playing tennis?,tennis racket,skill,competition,tennis court
5275,What state is the John Davis  Lodge toll road found in?,new jersey,eastern united states,good repair,connecticut
5276,"The man went to clown college, he had always want to run away with the what?",circus,carnival,surprise,spoons
5277,"Jamie wanted to reduce her waist size, but all of her efforts failed miserably.  She continued to do what?",gain weight,augment,dispare,make larger
5278,James felt himself losing consciousness.  He was frightened.  He didn't want this.  He was scared of what?,death,coma,peace,forgetfulness
5279,"If someone is aloof and self-important, what is their experience when meeting people?",stress,nervousness,smile,being bored
5280,"He was receiving workman's compensation, he had tripped over a metal rod while building where?",factory,construction site,engine,insides of skyscraper's walls
5281,John and James spent most of their time communicating with each other on their project.  The time required to communicate slowed their what?,static,train of thought.,progress,transfer of information
5282,When you play around with your dog they will have?,alive,health,fun,playing dead
5283,Where would a person keep a book while it's being read?,closet,library of congress,classroom,in bed
5284,"The student needed to  get some new pencils, where did he go?",store,classroom,backpack,cabinet
5285,"She loved buying products, she was driven by her what to shop more than any practical needs?",desire,money,time,credit
5286,How does getting paid feel?,income tax,satisfaction,sorrow,ocean
5287,"The fat man refused to accept what was possible, he complained that he what the simplest activities?",no go,unlikely,unable,cant do
5288,Where can meat last a long time?,backery,ham sandwich,fridge,butcher shop
5289,What group of musicians will include someone playing the cello?,ocean,symphony,band,music store
5290,Where do bees congregate with red flowerS?,trash can,honey,bouquet of flowers,rose garden
5291,What is someone who gets angry after getting drunk likely to participate in?,violence,falling down,vomiting,vomiting
5292,"The teacher told all the students that listening was key, it was the main way they would gain what?",empathy,anxiety,knowlege,falling down
5293,Stanley had a dream that was very vivid and scary. He had trouble telling it from what?,reality,imagination,dreamworker,nightmare
5294,The city's community garden was demolished for yet another what?,wasteland,ocean,desert,parking lot
5295,WHat do cats get into when they are ripping things apart?,dog's mouth,floor,garage,trouble
5296,What is a good result of losing weight?,increased energy,healthier,loose skin,beauty
5297,A person lived in my what?,demonstration,conference,building,garage
5298,"The skin was cut while chopping onions, where was this skin likely cut?",good health,finger,meat,body
5299,What might you feel after doing housework for hours?,anger,not boredom,stress,boredom
5300,"The sanctions against the school were a punishing blow, and they seemed to what the efforts the school had made to change?",ignore,enforce,authoritarian,yell at
5301,Sammy wanted to go to where the people were.  Where might he go?,race track,populated areas,the desert,apartment
5302,To locate a choker not located in a jewelry box or boutique where would you go?,jewelry store,neck,jewlery box,jewelry box
5303,Google Maps and other highway and street GPS services have replaced what?,united states,mexico,countryside,atlas
5304,"The fox walked from the city into the forest, what was it looking for?",pretty flowers.,hen house,natural habitat,storybook
5305,What home entertainment equipment requires cable?,radio shack,substation,cabinet,television
5306,"The only baggage the woman checked was a drawstring bag, where was she heading with it?",garbage can,military,jewelry store,safe
5307,"The forgotten leftovers had gotten quite old, he found it covered in mold in the back of his what?",carpet,refrigerator,breadbox,fridge
5308,What do people use to absorb extra ink from a fountain pen?,shirt pocket,calligrapher's hand,inkwell,desk drawer
5309,Where is a business restaurant likely to be located?,town,at hotel,mall,business sector
5310,Where do you put your grapes just before checking out?,mouth,grocery cart,super market,fruit basket
5311,"Before getting a divorce, what did the wife feel who was doing all the work?",harder,anguish,bitterness,tears
5312,Johnny sat on a bench and relaxed after doing a lot of work on his hobby.  Where is he?,state park,bus depot,garden,gym
5313,James was cooling off two quickly.  He would die if he didn't find some way to stop what?,loss of heat,revenge,expansion,relaxation
5314,"Of all the rooms in a house it was his favorite, the aromas always drew him to the what?",yard,basement,kitchen,living room
5315,"Bill is stuck in marsh when a man comes up to him peaking Cajun, where is he?",low lands,new york,forest,louisiana
5316,What is it called when you slowly cook using a grill?,backyard,restaurant,crockpot,neighbor's house
5317,What type of person typically contracts illness?,hospital,head,sick person,elderly person
5318,Where would you expect to find a pizzeria while shopping?,chicago,street,little italy,food court
5319,"When eating everything on the tasting menu, what does one tend to feel?",full stomach,getting full,gaining weight,sick
5320,What does playing soccer for a long time lead to?,excitement,fatigue,anger,hurting
5321,Which entrance would you use if you do not want to use the back entrance?,side,main,anterior,current
5322,You can share files with someone if you have a connection to a what?,freeway,radio,wires,computer network
5323,"The accelerator was controller via a hand throttle, and the foot pedals controlled the steering in the small what?",car,fuel system,accelerate,boat
5324,"Sean was lying about the body, but he was very scared.  He constantly worried about what?",the reward money,hurt feelings,being found out,problems
5325,"The drug kingpin told his man to run errands, this was code to go to all the dealers to do what they had?",park,make time for,receive instructions,take money
5326,"Though he could've kept going his body appreciated the rest, it had been constantly what during the day?",walk,lay down,working,moving
5327,Too many people want exotic snakes.  The demand is driving what to carry them?,ditch,shop,north america,pet shops
5328,"Joe suffered many consequences from stabbing a stranger to death.   Among them, the family of the victim did something to him. What was that?",knife wounds,buy a gun,bleeding,jail time
5329,To prevent any glare during the big football game he made sure to clean the dust of his what?,television,attic,corner,they cannot clean corner and library during football match they cannot need that
5330,"I have something in my head I want to share, what ways can I do that?",write an essay,organize thoughts,speak information,summarize main points
5331,"He wanted a house that was gated off from other places, where should he start looking?",neighborhood,subdivision,city,suburbs
5332,Where in Southern Europe would you find many canals?,michigan,new york,amsterdam,venice
5333,What would a camper need to do before he or she can start cooking food?,make breakfast,go hiking,pack or bag,light fire
5334,What could happen to a paper if you leave it outside even if it does not move?,one material often recycled,ripped,saturated with water,one dimensional
5335,"Mark's semen was very thick, but after his vasectomy it was also what?",blank,sparse,thin,clear
5336,What is a great place to lay in the sun?,in the basement,west,solar system,beach
5337,Where would you find a seafood restaurant in the east coast of North America?,maine,boston,beach town,coastal cities
5338,The president is the leader of what institution?,walmart,white house,country,corporation
5339,Sitting to close while watching TV can cause what sort of pain?,brain problems,laziness,get fat,headache
5340,Where is a bald eagle safe?,pine tree,open country,in washington,wildlife refuge
5341,"The game promised it was free, but the child's parents soon found themselves doing what for microtransactions?",costly,captive,contained,paying
5342,What kind of driving leads to accidents?,stressful,dangerous,fun,illegal
5343,What is eating too much dinner likely to result in?,tiredness,living longer,stomach ache,illness
5344,What is a person chatting with friends likely hoping to accomplish?,gathering of information,communication,feel relaxed,kill boredom
5345,"Jame's bare feet were burned as he walked, because the sunshine had made the surface hot.  Where might he have been?",disneyland,snow,windowsill,street
5346,"A fox was thirsty searching for water during the drought, where was he?",painting,hen house,california,virginia
5347,What might be the result of a season of successful skiing?,finish line,broken bones,broken legs,chapped lips
5348,"The sensor would just the distance then set off an alarm, the installation expert explained it was called a what kind of sensor?",near,closeness,here,proximity
5349,"The man was eating lunch, but rushed when he looked at his watch, why did he rush?",gain weight,late for work,heartburn,bad breath
5350,"The evacuation became mandatory, so what came on the TV?",advisory,mandate,soap opera,elective
5351,The person gave a good hands on what to show how to do the work?,demonstration,garage,building,barn
5352,Where would you see some people doing jumping jacks?,military base,opera,water fountain,bus stop
5353,"The body guard was good at his duties, he made the person who hired him what?",better job,irritated,feel safe,save money
5354,"Learning languages is difficult.  Even in a full immersion environment you're likely to make mistakes, mistakes will cause misinterpretation, which will be uncomfortable, which will cause what?,",better communication,overthinking,frustration,misunderstandings
5355,"Jim enjoyed killing people, but he did it too often and the cops found out.  What might the cops do to him?",going to jail,going to prison,beat him up,get arrested
5356,Where is there usually a fiddle playing?,music store,dance hall,orchestra,symphony
5357,What is the only was to recover from exhaustion?,mediate,have rest,stay in bed,run out of steam
5358,What would you do if you want to be able to earn money?,apply for job,stand in line,take care of proposals,pass course
5359,What is a grumpy person likely to have?,headache,understand themselves,compliments,own house
5360,What do drugs do?,damage,cloud mind,lower i.q,cause illness
5361,A beaver can destroy a machines functionality if they build their dam in this?,strip club,pocket,millpond,ontario
5362,"They decided to hash things out over drinks, after enough booze they were able to get close on a few things and what?",reach tentative agreement,suicide,examine thing,commit murder
5363,Where could a fungus grow and not be disturbed by sunlight?,under rocks,manhattan,toenails,grocery store
