,Question,Answer,option2,option4,option3
725,What language besides Malay is in the Austronesia language family?,,None of above,1670,TRUE
726,Wasn't Malay language found in Sumatra?,The Malay language was found in Sumatra.,both a and b,ALL,TRUE
727,Wasn't Malay language written using Pallava?,Yes.,all,TRUE,TRUE
728,Was Malay language written using Pallava?,Yes,both a and b,maybe,TRUE
729,Had the language already been used as the lingua franca throughout the archipelago since the 15th century?,yes,all,ALL,2
730,Do another distinguishing feature of Malay ( include Indonesian Malay )?,Another distinguishing feature of Malay (include Indonesian Malay) is its use of measure words (penjodoh bilangan).,None of above,help me,FLASE
731,Is Malay spoken as local dialect of ethnic Malays?,Yes,both a and c,TRUE,ALL
732,Give an example of the tributary states of the Majapahit kingdom in eastern Java. ,Malayu is an example of the tributary states of the Majapahit kingdom in eastern Java.,both a and c,2,ALL
733,Is Malay the one of the most widely spoken languages in the world?,yes,all,2001,20
734,Was it derived from Latin?,Yes,both c and b,Github,FLASE
735,Is Melbourne the capital and most populous city in the state of Victoria?,Yes,both a and b,Yes,Yes
736,Is Melbourne the capital and most populous city in the state of Victoria?,Yes.,None of above,maybe,Yes
737,Is Melbourne home to Australia's busiest seaport?,Yes,both c and b,Google,ALL
738,Is Melbourne home to Australia's busiest seaport?,Yes.,both a and c,2,20
739,Does Melbourne have a large international student community?,Yes,both a and b,FLASE,2
740,Does Melbourne have a large international student community?,Yes.,None of above,Google,2
741,What is a resident of Melbourne known as?,Melburnian,None of above,2001,ALL
742,What is a resident of Melbourne known as?,"A ""Melburnian"".",None of above,2,Yes
743,When was Melbourne officially declared as a city?,1847,both a and c,Legend,Yes
744,When was Melbourne officially declared as a city?,In 1847.,all,Yes,No
745,How many sister cities does the City of Melbourne have?,six,None of above,ALL,Happy
746,How many sister cities does the City of Melbourne have?,Six.,all,Google,20
747,Where is Melbourne situated?,boundary of the very hot inland areas and the cold southern ocean,both a and b,help me,2
748,How many domestic tourists visit Melbourne?,7.6 million domestic visitors,both a and b,No,ALL
749,How many domestic tourists visit Melbourne?,7.6 million.,both a and b,Google,Yes
750,What religion holds majority in Melbourne?,Christian,all,2001,ALL
751,What religion holds majority in Melbourne?,Christianity.,both a and c,help me,ALL
752,Did Albert Einstein keep a photograph of Faraday on his study wall?,yes,all,20,FLASE
753,Did Faraday marry Sarah Barnard?,yes,None of above,2001,No
754,Did Faraday also discover the laws of electrolysis?,yes,both a and c,20,No
755,Who discovered benzene?,Michael Faraday discovered benzene.,both c and b,Happy,ALL
756,Who discovered benzene?,Michael Faraday,both a and c,TRUE,TRUE
757,Where was Michael Faraday born?,Michael Faraday was born in Newington Butts.,both a and b,2,Yes
758,Where was Michael Faraday born?,Newington Butts,both a and b,0.5,TRUE
759,What is the Faraday effect?,The Faraday effect is the phenomenon that the plane of polarisation of linearly polarised light can be rotated by the application of an external magnetic field aligned in the direction the light is moving.,both c and b,0.5,ALL
760,What is the Faraday effect?,The plane of polarisation of linearly polarised light can be rotated by the application of an exernal magnetic field aligned in the direction the light is moving.,both a and c,1670,20
761,Did Faraday discover diamagnetism?,yes,both a and b,help me,No
762,How many siblings did Faraday have?,Faraday had three siblings.,both a and c,2,Yes
763,How many siblings did Faraday have?,two,both a and b,No,No
764,Where is Michael Faraday buried?,Michael Faraday is buried in the dissenters' section of Highgate Cemetery.,both c and b,No,FLASE
765,Where is Michael Faraday buried?,in the dissenters' section of Highgate Cemetery,both c and b,0,2
766,Is faraday best known for his work with kinematics?,No,both a and c,Yes,Happy
767,Is faraday best known for his work with kinematics?,,None of above,0.5,20
768,was he active in the area now called environmental science?,Yes,None of above,No,TRUE
769,was he active in the area now called environmental science?,,all,0.5,2
770,did he discover benzene?,Yes,both c and b,Github,FLASE
771,did he discover benzene?,,both c and b,Happy,Yes
772,who was his mentor?,John 'Mad Jack' Fuller,both c and b,maybe,ALL
773,who was his mentor?,,both c and b,Yes,Happy
774,what happened in 1824?,,both a and b,20,No
775,Who was Faraday's wife?,Sarah Barnard,both a and b,2,ALL
776,Who was Faraday's wife?,,None of above,Google,20
777,did he advise the british government on the production of chemical weapons for use in the crimean war?,No,both a and b,FLASE,2
778,did he advise the british government on the production of chemical weapons for use in the crimean war?,,all,FLASE,Yes
779,did faraday have strong maritime interests?,Yes,both c and b,Yes,TRUE
780,did faraday have strong maritime interests?,,all,0,20
781,does the charge reside on the interior of a charged conductor?,No,all,0.5,No
782,does the charge reside on the interior of a charged conductor?,,None of above,FLASE,ALL
783,Wasn't Michelangelo abstemious?,Michelangelo was abstemious.,None of above,Yes,Happy
784,Wasn't Michelangelo a homosexual?,It is not clear.,None of above,TRUE,2
785,When did Filippo Strozzi sell it to Francis I?,In 1529.,None of above,TRUE,ALL
786,When was his house demolished?,1874,both c and b,20,No
787,Was Michelangelos mother Francesca di Neri del Miniato di Siena?,yes,all,Yes,TRUE
788,Was Michelangelo's output in every field during his long life prodigious?,yes,all,Yes,ALL
789,Is French the least spoken language in Montreal?,,both a and b,TRUE,Happy
790,Is French the least spoken language in Montreal?,,all,ALL,Yes
791,Was Montreal incorporated as a city in 1832?,,all,0.5,No
792,Was Montreal incorporated as a city in 1832?,,None of above,FLASE,20
793,Does Montreal lie at the confluence of several climatic regions?,,both a and c,2001,FLASE
794,Does Montreal lie at the confluence of several climatic regions?,,both c and b,No,Yes
795,Montreal was merged with how many surrounding municipalities?,,both a and c,No,No
796,Montreal was merged with how many surrounding municipalities?,,both c and b,2,FLASE
797,Why did Montreal lose its status as the capital of the  Province of Canada in 1849?,,both a and b,FLASE,ALL
798,Why did Montreal lose its status as the capital of the  Province of Canada in 1849?,,None of above,1670,TRUE
799,What are the designs and decorations of the Montreal Metro System said to be?,,both a and c,0.5,Happy
800,What are the designs and decorations of the Montreal Metro System said to be?,,None of above,maybe,ALL
801,Mount Royal Park's wooden design was created by what famous designer?,,None of above,Github,FLASE
802,Mount Royal Park's wooden design was created by what famous designer?,,all,Yes,TRUE
803,The majority of The Greater Montreal Area follows what religion?,,both a and b,Google,2
804,The majority of The Greater Montreal Area follows what religion?,,all,2,2
805,Is English the language most often spoken in Montreal?,The language most spoken at home in the city is French.,both c and b,Happy,ALL
806,How many international airports does Montreal have?,Montreal has two international airports.,None of above,2,Yes
807,How many international airports does Montreal have?,Montreal has two international airports.,all,0,20
808,Who is the Mayor of Montreal?,The mayor is Gérald Tremblay.,None of above,Legend,Happy
809,Who is the Mayor of Montreal?,The mayor is Gérald Tremblay.,both a and b,Legend,No
810,What is the name of the largest church in Montreal?,The largest church in Montreal is named Saint Joseph's Oratory.,both c and b,FLASE,ALL
811,What is the name of the largest church in Montreal?,Saint Joseph's Oratory is the largest church in Montreal.,both a and c,Google,TRUE
812,Where was much of Montreal's industry during the late 19th and early-to-mid 20th century?,The Sud-Ouest borough was home to much of the city's industry during the late 19th and early-to-mid 20th century. ,None of above,20,ALL
813,Where was much of Montreal's industry during the late 19th and early-to-mid 20th century?,The Sud-Ouest borough was home to much of the city's industry during the late 19th and early-to-mid 20th century.,both a and c,maybe,Yes
814,Does Montreal contain the largest church in Canada?,Yes,None of above,Github,ALL
815,What is the largest primarily French-speaking city in the western world?,Paris is the largest primarily French-speaking city in the western world.,all,2,No
816,What is the largest primarily French-speaking city in the western world?,The largest primarily French-speaking city in the western world is Paris.,both c and b,Yes,Happy
817,Is Nairobi the capital of Kenya?,Yes,all,Happy,Happy
818,Is Nairobi the capital of Kenya?,,both a and c,No,No
819,Was Nairobi founded in 1899?,Yes,both a and b,Google,Yes
820,Was Nairobi founded in 1899?,,both c and b,Legend,2
821,Is the current estimated population of Nairobi about 6 milion?,No,both c and b,Github,20
822,Is the current estimated population of Nairobi about 6 milion?,,all,2001,TRUE
823,What is the current estimated population of Nairobi?,About 3 million,None of above,Github,2
824,What is the current estimated population of Nairobi?,,None of above,help me,FLASE
825,In what year was Nairobi founded?,1899,all,Google,Happy
826,In what year was Nairobi founded?,,both a and c,ALL,TRUE
827,Which embassy in Nairobi was bombed in August 1998?,The United States Embassy,both c and b,20,20
828,Which embassy in Nairobi was bombed in August 1998?,,None of above,Happy,2
829,How many civilians died in the 1998 U.S. embassy bombing?,Over two hundred,all,0.5,FLASE
830,How many civilians died in the 1998 U.S. embassy bombing?,,all,0.5,2
831,How many trades can the NSE make per day?,10 million trades,both a and b,Yes,TRUE
832,How many trades can the NSE make per day?,,both c and b,1670,TRUE
833,About how many people are estimated to live in Nairobi?,3 million,both a and b,2,No
834,About how many people are estimated to live in Nairobi?,,all,Legend,TRUE
835,The district is bordered to the southwest by Uhuru Park and where?,Central Park,both c and b,FLASE,ALL
836,When did the Catholic University of Eastern Africa which obtain its Letter of Interim Authority?,In 1989.,all,Happy,FLASE
837,Is Central Park adjacent to Uhuru Park?,Central Park is adjacent to Uhuru Park.,both a and c,1670,20
838,Give an example of the most prominent cities in Africa politically and financially. ,Nairobi is now one of the most prominent cities in Africa politically and financially,all,2001,2
839,Is Nairobi not the capital as well as largest city of Kenya?,Nairobi is the capital and largest city of Kenya.,both c and b,TRUE,2
840,Does the city and its surrounding area also form the Nairobi Province?,yes,both a and c,2,Yes
841,Did Nikola Tesla die alone?,Nikola Tesla died alone.,both c and b,Google,No
842,Did Nikola Tesla die alone?,Yes,both c and b,Happy,TRUE
843,Was Nikola Tesla close friends with Mark Twain?,Nikola Tesla was close friends with Mark Twain.,both c and b,Happy,ALL
844,Was Nikola Tesla close friends with Mark Twain?,Yes,both c and b,Google,20
845,Did Nikola Tesla use a technique called picture thinking?,Nikola Tesla used a technique called picture thinking.,both a and b,TRUE,ALL
846,Did Nikola Tesla use a technique called picture thinking?,Yes,both a and c,Google,20
847,When did Nikola Tesla appear on the cover of Time Magazine?,1931,all,2,20
848,Who became adversaries with Nikola Tesla?,Nikola Tesla became adversaries with Edison.,None of above,1670,ALL
849,Who became adversaries with Nikola Tesla?,Edison,both a and c,Google,Yes
850,Where did Nikola Tesla move to in 1880?,Budapest,both a and c,No,Happy
851,Was Nikola Tesla's mother illiterate?,Nikola Tesla's mother never learned to read.,all,help me,Yes
852,Was Nikola Tesla's mother illiterate?,Yes,None of above,2,Yes
853,How many siblings did Nikola Tesla have?,Nikola Tesla had four siblings.,both a and b,Github,Yes
854,How many siblings did Nikola Tesla have?,4,both c and b,0,Yes
855,Was Nikola Tesla a vegetarian?, In his later years Tesla became a vegetarian.,both a and b,2,Happy
856,Was Nikola Tesla a vegetarian?,Yes,both a and b,FLASE,No
857,Was Tesla an American citizen?,Yes,None of above,FLASE,FLASE
858,Was Tesla an American citizen?,,all,FLASE,Yes
859,Was Tesla on the cover of Time magazine?,Yes,all,0,FLASE
860,Was Tesla on the cover of Time magazine?,,both a and c,ALL,ALL
861,Where did Tesla study electrical engineering?,The Austrian Polytechnic in Graz,all,0.5,ALL
862,Where did Tesla study electrical engineering?,,all,Happy,TRUE
863,When did Tesla receive his last patent?,1928,both a and c,Github,Yes
864,When did Tesla receive his last patent?,,both a and c,Google,TRUE
865,What languages did Tesla speak?,,all,Yes,ALL
866,Did Tesla win the Nobel Prize?,No,all,Yes,20
867,Did Tesla win the Nobel Prize?,,None of above,Yes,2
868,Was Tesla rich at the time of his death?,No,both c and b,Legend,FLASE
869,Was Tesla rich at the time of his death?,,both a and b,help me,TRUE
870,What music group was named after Tesla?,Tesla,both a and b,help me,Yes
871,What music group was named after Tesla?,,all,ALL,No
872,Who spent the next 10 years painting for Look magazine?,Norman Rockwell.,all,Yes,ALL
873,When was his last painting for the Post published?,1963,both c and b,Yes,Yes
874,Did Norman Rockwell spend the winter months as artist-in-residence at Otis College of Art as well as Design?,Yes,both a and b,Github,Yes
875,Did Norman Rockwell publish a total of 321 original covers for The Saturday Evening Post over 47 years?,Yes.,both a and c,Github,FLASE
876,Was Rockwell also commissioned to illustrate over 40 books including Tom Sawyer as well as Huckleberry Finn?,Rockwell was also commissioned to illustrate over 40 books including Tom Sawyer and Huckleberry Finn. ,all,ALL,20
877,Is he also noted for his work for the Boy Scouts of America (BSA)?,yes,all,No,20
878,Where is the mouth of an octopus?,The mouth of an octopus is at the center point of the arms.,both a and c,20,Happy
879,Where is the mouth of an octopus?,The octopus' mouth is at the center point of the arms.,both a and c,FLASE,FLASE
880,Around how many recognized octopus species are there?,There are around 300 recognized octopus species.,both a and b,2,Yes
881,Around how many recognized octopus species are there?,There are around 300 recognized octopus species.,both a and c,maybe,ALL
882,How many arms does an octopus have?,An octopus has four pairs of arms.,both a and c,Yes,FLASE
883,How many arms does an octopus have?,The octopus has four pairs of arms.,all,Happy,ALL
884,What is the range of lifespans of the octopus?,Octopuses can live from six months to five years.,both a and b,0.5,TRUE
885,What is the range of lifespans of the octopus?,The octopus has a short lifespan.,both c and b,Happy,No
886,What is an example of something an octopus learned in a research experiment?,An octopus learned to solve mazes.,None of above,Yes,FLASE
887,Are Octopus highly intelligent?,yes,all,No,2
888,Do males use a specialized arm called a hectocotylus to insert spermatophores?,Yes,None of above,No,FLASE
889,Is octopus a common food in Mediterranean cuisine as well as Portuguese cuisine?,Yes,None of above,1670,TRUE
890,Is the collective form octopus usually reserved for animals consumed for food?,Yes,both a and b,Google,No
891,What happened in 1838?,Don Jos� Ruiz y Blasco was born,None of above,FLASE,ALL
892,When did Picasso make his first trip to Paris?,1900,all,Happy,20
893,Give an example of the most comprehensive records extant of any major artists beginnings. ,Museu Picasso,both a and c,0,Happy
894,Is in the 1996 movie Surviving Picasso Picasso played by actor Anthony Hopkins?,Yes.,None of above,0.5,No
895,Is the U.S. copyright representative for the Picasso Administration the Artists Rights Society?,yes,both c and b,2001,FLASE
896,Is he one of the most recognized figures in 20th-century art?,yes,both c and b,Google,Yes
897,Is he best known for co-founding the Cubist movement and for the wide variety of styles embodied in his work?,Yes.,both a and c,TRUE,TRUE
898,Are pianos used in Western music?,Yes.,all,2001,Happy
899,Are pianos used in Western music?,Yes,None of above,Yes,Yes
900,"Are ""upright pianos"" called ""vertical pianos""?",Yes.,both a and c,Legend,Happy
901,"Are ""upright pianos"" called ""vertical pianos""?",Yes,both c and b,Happy,2
902,Did Bartolomeo Cristofori invent the modern piano?,Yes.,both a and b,1670,TRUE
903,Did Bartolomeo Cristofori invent the modern piano?,Yes,both a and b,Legend,20
904,What is the middle pedal called on grand pianos?,the sostenuto pedal.,both c and b,Yes,20
905,What is the middle pedal called on grand pianos?,sostenuto pedal,all,20,Yes
906,How many black keys do modern pianos have?,36.,both a and b,Happy,ALL
907,How many black keys do modern pianos have?,36,both c and b,FLASE,2
908,What is the sustain pedal called?,The pedal,both a and c,1670,ALL
909,What is the sustain pedal called?,damper pedal,None of above,TRUE,20
910,Where is Irving Berlin's piano located?,In the Smithsonian Museum.,None of above,TRUE,Happy
911,Where is Irving Berlin's piano located?,in the Smithsonian Museum,both a and c,0,FLASE
912,What kind of piano did Irving Berlin play?,The transposing piano.,all,Legend,TRUE
913,What kind of piano did Irving Berlin play?,transposing piano,both a and c,Google,Happy
914,Is the left-most pedal on a grand piano called the una corda?,yes,both a and c,Happy,Happy
915,Is it advantageous for a grand piano's metal plate to be quite massive?,yes,both a and c,Happy,ALL
916,Is it advantageous for a grand piano's metal plate to be quite massive?,It is advantageous for the plate to be quite massive.,all,20,ALL
917,Is the mechanism in an upright piano perpendicular to its keys?,yes,None of above,2,Yes
918,Is the mechanism in an upright piano perpendicular to its keys?,The mechanism in upright pianos is perpendicular to the keys.,all,1670,TRUE
919,About how tall is a typical studio piano?,Studio pianos are around 42 to 45 inches tall.,None of above,2001,20
920,About how tall is a typical studio piano?,Studio pianos are around 42 to 45 inches tall.,both a and c,Google,No
921,What are a piano's keys generally made of?,Piano keys are generally made of spruce or basswood.,None of above,help me,ALL
922,What are a piano's keys generally made of?,Piano keys are generally made of spruce or basswood.,all,0.5,TRUE
923,How many total keys does a typical modern piano have?,88 keys.,both a and c,maybe,Yes
924,How many total keys does a typical modern piano have?,A modern piano has 88 keys.,None of above,20,20
925,Why are upright pianos more compact?,Upright pianos are more compact because the frame and strings are vertical.,both c and b,1670,FLASE
926,Why are upright pianos more compact?,Upright pianos are more compact because the frame and strings are vertical.,all,1670,Yes
927,Do older pianos have more keys than modern pianos?,no.,both c and b,2,TRUE
928,Do older pianos have more keys than modern pianos?,Many older pianos only have 85 keys.,both a and b,FLASE,No
929,Is one of the best known Impressionist works Renoirs 1876 Dance at Le Moulin de la Galette?,Yes.,both a and c,0.5,20
930,Was Pierre-Auguste Renoir born in Limoges Haute-Vienne France the child of a working class family?,yes,both a and c,FLASE,TRUE
931,Have two of Renoirs paintings sold for more than US0 million?,Yes (any painting sells for more than $0 million though...),both a and b,0.5,2
932,Is Portuguese an official language of Andorra?,No,both a and c,FLASE,FLASE
933,Does the Portuguese language have its roots in the Latin language?,Yes,both a and c,Legend,ALL
934,Does Portuguese contain words from the Arabic language?,Yes,None of above,maybe,Happy
935,Where are there small Portuguese-speaking communities?,Former overseas colonies of Portugal such as Macau and East Timor ,both a and c,Happy,Happy
936,Where are there small Portuguese-speaking communities?,There are small Portuguese-speaking communities in Macau and East Timor.,both a and c,TRUE,20
937,What are the two main groups of Portuguese dialects?,Those of Brazil and those of the Old World,both a and c,Legend,2
938,What are the two main groups of Portuguese dialects?,The two main groups of dialects are Brazil and the Old World.,both c and b,2,FLASE
939,What event marked the end of the Old Portuguese period?,The publication of the Cancioneiro Geral by Garcia de Resende in 1516,both a and b,FLASE,20
940,What event marked the end of the Old Portuguese period?,The end of the Old Portuguese period was marked by the publication of the Cancioneiro Geral by Garcia de Resende.,all,ALL,2
941,Which government established Portuguese as it's third official language in order to meet the requirements to apply for full membership in the CPLP?,Equatorial Guinea,None of above,Yes,No
942,Which government established Portuguese as it's third official language in order to meet the requirements to apply for full membership in the CPLP?,The government of Equatorial Guinea established Portuguese as its third official language in order to meet the requirements to apply for full membership in the CPLP.,None of above,0,Happy
943,In which country is Portuguese the co-official language with Cantonese Chinese?,Macau,both c and b,1670,TRUE
944,In which country is Portuguese the co-official language with Cantonese Chinese?,Portuguese is the co-official language with Cantonese Chinese in Macau.,all,0,2
945,Wasn't Portuguese language spread by arriving Roman soldiers?,Yes.,both c and b,0,20
946,Is Portuguese an official language of several international organizations?,Yes.,both a and b,Legend,Yes
947,Was it used as the exclusive lingua franca on the island of Sri Lanka for almost 350 years?,yes,both c and b,0.5,2
948,Is the city named after the apostle Saint Peter?,yes,all,maybe,2
949,Is the city named after the apostle Saint Peter?,Yes.,both a and c,1670,FLASE
950,Has the terrain in the city been artificially raised?,yes,all,FLASE,TRUE
951,Has the terrain in the city been artificially raised?,Yes.,None of above,0,TRUE
952,What were some other names of the city?,Petrograd and Leningrad.,both a and b,FLASE,TRUE
953,What festival features fireworks  celebrating the end of the school year?,The White Nights Festival in Saint Petersburg,both c and b,Github,TRUE
954,What festival features fireworks  celebrating the end of the school year?,The White Nights Festival.,None of above,0.5,FLASE
955,Where do most people in urban Saint Petersburg live?,apartments,both a and c,Legend,20
956,Where do most people in urban Saint Petersburg live?,Apartments.,both c and b,Github,No
957,What was made in Russia's largest foundry?,thousands of sculptures and statues,both a and b,Yes,Happy
958,What was made in Russia's largest foundry?,Thousands of sculptures and statues.,both a and c,maybe,ALL
959,When did the crime level become higher?,After the October revolution.,None of above,Happy,20
960,How to travel to work from the city to Moscow?,railway,both c and b,help me,Happy
961,How to travel to work from the city to Moscow?,One way is through the Moscow-Saint Petersburg Railway.,None of above,ALL,ALL
962,Who laid down the Peter and Paul Fortress?,Peter the Great ,None of above,1670,TRUE
963,When was the 7th symphony premiered?,1942,both a and b,Github,ALL
964,Give an example of the best known symphony orchestras in the world under the leadership of conductors Yevgeny Mravinsky and Yuri Temirkanov. ,The Leningrad Philharmonic Orchestra,None of above,maybe,20
965,Is it often called just Petersburg (-RRB- and is informally known as Piter (-RRB-?,Yes,all,No,FLASE
966,Is the standard of living in San Franciscio high?,Yes,None of above,No,TRUE
967,Does San Francisco have a high percentage of gay and lesbian individuals?,Yes,all,Yes,ALL
968,Is San Franscico a popular tourist destination?,Yes. San Francisco is a popular international tourist destination.,both c and b,Github,FLASE
969,Is San Franscico a popular tourist destination?,Yes,both c and b,0,Happy
970,How many state parks are in San Francisco?,There is only one park managed by the California State Park system: Candlestick Point.,both a and b,2001,TRUE
971,How many state parks are in San Francisco?,There is one state park in San Francisco.,both c and b,maybe,20
972,Where is San Francisco?,San Francisco is located on the West Coast of the United States at the tip of the San Francisco Peninsula.,all,FLASE,2
973,Where is San Francisco?,San Francisco is in California.,both a and c,20,Happy
974,What is the cause of local earthquakes?,It was the San Andreas Fault which slipped and caused the earthquakes in 1906 and 1989.,None of above,TRUE,2
975,What is the cause of local earthquakes?,The nearby San Andreas and Hayward Faults are responsible for much earthquake activity.,None of above,FLASE,FLASE
976,Are more residents employed by small businesses than in 1977?,No,all,Yes,TRUE
977,How does poverty in San Francisco compare to the nation-wide average?,San Francisco's poverty rate is lower than the national average.,all,No,Happy
978,Was Mission Bay campus opened in 2003,yes,both a and b,0.5,No
979,Was Mission Bay campus opened in 2003,Yes,None of above,TRUE,FLASE
980,Was the University of San Fransisco founded in 1855,yes,all,Github,ALL
981,Is Golden Gate Park the largest city park,yes,both c and b,help me,20
982,Is Golden Gate Park the largest city park,Yes,all,0.5,20
983,What is Northern California's most widely circulated newspaper,San Francisco Chronicle,None of above,No,ALL
984,What is Northern California's most widely circulated newspaper,San Francisco Chronicle,both a and b,Legend,Happy
985,What makes San Francisco among the top-ten North American destinations for conventions and conferences,San Francisco has a large hotel infrastructure and a world-class convention facility in the Moscone Center,both a and b,2001,20
986,What makes San Francisco among the top-ten North American destinations for conventions and conferences,a large hotel infrastructure and a world-class convention facility in the Moscone Center,both a and b,FLASE,Happy
987,Who manages Candlestick point,California State Park system,both a and b,Github,2
988,Who manages Candlestick point,the California State Park system,both a and b,Github,ALL
989,Is Crissy field an airfield,Yes,both a and b,FLASE,Yes
990,Does the de Young museum house the Asian Art Museum,yes,both a and c,0.5,TRUE
991,Does the de Young museum house the Asian Art Museum,No,all,help me,2
992,What prompted the city to upgrade its building codes,earthquakes,all,FLASE,2
993,What prompted the city to upgrade its building codes,The threat of major earthquakes,both a and b,maybe,TRUE
994,Who laid out a street plan for the expanded S10_settlement?,William Richardson and Alcalde Francisco de Haro.,both a and b,Google,20
995,When was a 43-acre Mission Bay campus opened?,2003,both a and c,0,No
996,When did it sign on the air?,In 1941.,both a and c,Legend,Yes
997,Give an example of the largest two-year community colleges in the country. ,The City College of San Francisco.,None of above,Yes,20
998,Give an example of the ten Beta World Cities. ,San Trancisco,both a and b,1670,Happy
999,Is Swahili a Bantu language?,yes,None of above,ALL,FLASE
1000,Did Uganda make Swahili a required subject in primary schools?,yes,both a and c,Github,TRUE
1001,What is the Swahili word for the Swahili language?,Kiswahili is the Swahili word for the Swahili language.,all,0.5,ALL
1002,What is the Swahili word for the Swahili language?,Kiswahili,both a and b,TRUE,Happy
1003,Is Swahili spoken in Mozambique?,yes,None of above,2001,FLASE
1004,How does Swahili time run?,Swahili time runs from dawn to dusk.,both a and c,Google,ALL
1005,How does Swahili time run?,from dawn to dusk,all,TRUE,Happy
1006,How many noun classes does Swahili have?,Swahili has sixteen noun classes.,None of above,Yes,20
1007,How many noun classes does Swahili have?,sixteen,all,TRUE,2
1008,In what year did Germany seize Tanganyika?,Germany seized Tanganyika in 1886.,all,0,TRUE
1009,In what year did Germany seize Tanganyika?,1886,both a and c,2,No
1010,Which is the sub-Saharan indigenous language with the greatest number of speakers?,Hausa of West Africa is the sub-Saharan indigenous language with the greatest number of speakers.,None of above,0.5,No
1011,Which is the sub-Saharan indigenous language with the greatest number of speakers?,Hausa,both a and c,Google,Yes
1012,Is Swedish a descendant of Old Norse?,Yes.,both a and b,20,ALL
1013,Is Swedish a descendant of Old Norse?,Yes,all,2,Happy
1014,Does Swedish use the perfect participle to form the present perfect tense?,No.,both a and b,Yes,TRUE
1015,Does Swedish use the perfect participle to form the present perfect tense?,No,both a and b,Legend,No
1016,How many letters are in the basic Latin alphabet?,26.,both a and c,Google,Yes
1017,How many letters are in the basic Latin alphabet?,26,both a and c,0,20
1018,When did a standard and common language become available to all Swedes?,In the 20th Century.,all,Happy,Happy
1019,When did the Soviet military forces occupy Estonia?,1944.,None of above,0,TRUE
1020,When did the Soviet military forces occupy Estonia?,In 1944.,both c and b,No,Happy
1021,How does Swedish language counterbalance the absence of cases?,The lack of cases in Swedish is compensated by a wide variety of prepositions.,both c and b,0,Happy
1022,Is Taipei in a valley?,Taipei is in the valleys of the Keelung and Xindian Rivers,None of above,Github,FLASE
1023,Is Taipei in a valley?,Yes,both a and c,Google,FLASE
1024,Was Taipei founded in the 18th century?,Yes,both a and b,TRUE,TRUE
1025,Was Taipei founded in the 18th century?,Yes,None of above,0.5,No
1026,Is the National Palace Museum in Taipei?,Yes,both c and b,help me,20
1027,Is the National Palace Museum in Taipei?,Yes,None of above,No,TRUE
1028,What is along the city's western border?,The Danshui River borders Taipei to the west.,both a and c,0,FLASE
1029,What is along the city's western border?,Taipei has the Danshui River along its western border.,both a and c,Legend,FLASE
1030,What is Taipei 101?,Taipei 101 is a 101-floor landmark skyscraper.,both c and b,Github,ALL
1031,What is Taipei 101?,Taipei 101 is a 101-floor landmark skyscraper.,all,1670,Happy
1032,When is the Pacific typhoon season?,Between June and October.,both a and b,2,FLASE
1033,When is the Pacific typhoon season?,It's between June and October.,both a and b,TRUE,20
1034,Who S10_sets up shrines?,Many homes and business S10_set up shrines.,both a and b,2,FLASE
1035,Who S10_sets up shrines?,Many homes and businesses would S10_set up shrines.,both a and c,Happy,Yes
1036,What does Taipei produce?,Taipei produces high technology and hi-tech components,None of above,help me,FLASE
1037,Is the trumpet the musical instrument with the highest register in the brass family?,Yes,all,help me,No
1038,Is the trumpet the musical instrument with the highest register in the brass family?,Yes,both c and b,Happy,No
1039,Is a trumpet played by blowing air through closed lips?,Yes,all,Happy,20
1040,Is a trumpet played by blowing air through closed lips?,yes,all,maybe,ALL
1041,Is the most common type of trumpet the B trumpet?,Yes,all,maybe,20
1042,Is the most common type of trumpet the B trumpet?,yes,both a and c,maybe,FLASE
1043,What is the earliest date of the trumpet?,1500 BC,both a and b,Github,No
1044,What is the earliest date of the trumpet?,around 1500 BC,None of above,Github,20
1045,What is a trumpet constructed of?,brass tubing,all,Github,20
1046,What is a trumpet constructed of?,brass tubing bent twice into an oblong shape,all,2,No
1047,What are the smallest trumpets referred to as?,Piccolo trumpets,both a and c,20,Yes
1048,What are the smallest trumpets referred to as?,piccolo trumpets,all,help me,No
1049,Why does the cornet have a slightly mellower tone than the trumpet?,The cornet and flugelhorn have conical bores,both a and b,Legend,Yes
1050,Why does the cornet have a slightly mellower tone than the trumpet?,because it has conical bores,None of above,maybe,No
1051,What makes a trumpet fully chromatic?,able to play all twelve pitches of Western music,both a and b,Github,Happy
1052,Were trumpet players heavily guarded?,yes,both a and b,Google,FLASE
1053,Were trumpet players heavily guarded?,yes,None of above,ALL,20
1054,Are pocket trumpets compact B trumpets?,yes,None of above,TRUE,No
1055,Are pocket trumpets compact B trumpets?,yes,all,maybe,FLASE
1056,Was Dizzy Gillespie a famous trumpeter in 1998?,no,both a and b,Yes,2
1057,What shape is a trumpet bent into?,oblong,both a and b,Yes,Yes
1058,What shape is a trumpet bent into?,an oblong shape,both a and c,Google,Happy
1059,What trumpet was the first to be allowed in the Christian Church?,slide trumpets,all,2,Happy
1060,What trumpet was the first to be allowed in the Christian Church?,Slide trumpets,both a and b,0.5,FLASE
1061,The trumpet can be confused with what close relative?,the cornet,None of above,Happy,No
1062,The trumpet can be confused with what close relative?,the coronet,both c and b,20,ALL
1063,What can be augmented with a fourth valve?,the flugelhorn,both c and b,Github,20
1064,What can be augmented with a fourth valve?,flugelhorn,both a and c,Github,ALL
